242|Fiji|-179.9,-16.1 -179.9,-16.8 179.2,-16.8 178.5,-16.8 179.2,-16.1 179.9,-16.1 -179.9,-16.1
834|Tanzania|33.6,-0.7 34.3,-1.4 37.8,-2.8 37.8,-3.5 39.2,-4.9 38.5,-5.6 38.5,-6.3 39.2,-7.0 39.2,-7.7 39.2,-8.4 39.2,-9.1 39.9,-9.8 40.6,-10.5 39.2,-11.2 38.5,-11.2 37.8,-11.2 37.8,-11.9 37.1,-11.9 36.4,-11.9 35.0,-11.2 34.3,-11.2 34.3,-10.5 33.6,-9.8 33.6,-9.1 32.9,-9.1 32.2,-9.1 31.5,-9.1 31.5,-8.4 30.8,-8.4 30.1,-7.0 29.4,-6.3 29.4,-5.6 29.4,-4.2 30.1,-4.2 30.8,-3.5 30.8,-2.8 30.8,-2.1 30.8,-1.4 30.1,-1.4 30.8,-0.7 32.2,-0.7 33.6,-0.7
732|W. Sahara|-8.4,28.0 -8.4,27.3 -8.4,25.9 -11.9,25.9 -11.9,23.1 -12.6,23.1 -13.3,23.1 -12.6,21.0 -16.8,21.0 -16.8,21.7 -14.7,21.7 -14.0,22.4 -14.0,23.8 -12.6,24.5 -11.9,25.9 -11.2,26.6 -10.5,27.3 -10.5,26.6 -9.8,26.6 -9.1,27.3 -9.1,28.0 -8.4,28.0
124|Canada|-122.5,49.0 -123.2,49.0 -124.6,49.7 -125.3,50.4 -127.4,51.1 -128.1,51.8 -128.1,52.5 -128.8,52.5 -129.5,53.9 -130.2,54.6 -130.2,55.3 -130.2,56.0 -131.6,56.7 -133.0,57.4 -133.7,58.1 -134.4,58.8 -135.1,59.5 -135.8,59.5 -136.5,59.5 -137.2,58.8 -138.6,59.5 -139.3,60.2 -140.0,60.2 -140.7,60.2 -140.7,65.8 -140.7,70.0 -139.3,69.3 -137.2,69.3 -136.5,68.6 -135.8,69.3 -134.4,69.3 -133.0,69.3 -131.6,70.0 -129.5,70.0 -128.8,70.0 -128.1,70.0 -128.1,70.7 -127.4,70.7 -126.0,69.3 -124.6,70.0 -124.6,69.3 -123.2,69.3 -122.5,70.0 -121.8,70.0 -119.7,69.3 -117.6,69.3 -116.2,68.6 -115.5,68.6 -114.1,68.6 -115.5,67.9 -113.4,67.9 -110.6,67.9 -109.9,67.9 -109.2,67.2 -107.8,67.9 -108.5,68.6 -107.1,68.6 -106.4,68.6 -105.0,68.6 -104.3,67.9 -102.9,67.9 -101.5,67.9 -100.1,67.9 -98.7,67.9 -98.7,68.6 -98.0,68.6 -95.9,67.9 -95.9,67.2 -95.2,67.9 -94.5,67.9 -94.5,69.3 -95.2,70.0 -96.6,70.0 -96.6,71.4 -95.2,72.1 -93.8,72.1 -93.1,71.4 -91.7,70.0 -92.4,70.0 -90.3,69.3 -90.3,68.6 -88.9,69.3 -88.2,68.6 -88.2,67.9 -87.5,67.2 -86.1,67.9 -85.4,68.6 -85.4,70.0 -84.0,70.0 -82.6,70.0 -81.2,69.3 -81.2,68.6 -81.9,67.9 -81.2,67.9 -81.2,67.2 -83.3,66.5 -84.7,66.5 -86.1,66.5 -86.1,65.8 -86.8,65.1 -87.5,65.1 -88.2,64.4 -89.6,63.7 -91.0,63.7 -91.0,63.0 -91.7,63.0 -93.1,62.3 -94.5,60.9 -94.5,60.2 -94.5,58.8 -93.1,58.8 -93.1,58.1 -92.4,57.4 -91.0,57.4 -88.9,56.7 -88.2,56.7 -87.5,56.0 -86.1,56.0 -84.7,55.3 -83.3,55.3 -82.6,55.3 -82.6,54.6 -81.9,53.2 -81.2,52.5 -79.8,51.1 -79.1,51.8 -78.4,52.5 -79.1,53.9 -79.8,54.6 -78.4,55.3 -77.0,56.0 -76.3,56.7 -76.3,57.4 -77.0,58.1 -78.4,58.8 -77.0,60.2 -77.7,60.9 -78.4,62.3 -77.7,62.3 -75.6,62.3 -74.9,62.3 -73.5,62.3 -72.8,62.3 -71.4,61.6 -71.4,60.9 -69.3,60.9 -69.3,60.2 -69.3,58.8 -68.6,58.8 -67.9,58.1 -66.5,58.8 -65.1,60.2 -64.4,60.2 -63.7,59.5 -62.3,58.1 -61.6,56.7 -61.6,56.0 -60.2,56.0 -59.5,55.3 -58.1,54.6 -57.4,54.6 -56.7,53.9 -56.0,53.9 -56.0,53.2 -56.0,51.8 -56.7,51.8 -57.4,51.1 -58.8,51.1 -60.2,50.4 -61.6,50.4 -63.7,50.4 -65.1,50.4 -66.5,50.4 -67.2,49.7 -68.6,49.0 -70.0,47.6 -71.4,46.9 -70.0,46.9 -68.6,48.3 -66.5,49.0 -65.1,49.0 -64.4,49.0 -65.1,48.3 -65.1,46.9 -64.4,46.2 -63.0,45.5 -61.6,46.2 -60.2,46.9 -60.2,46.2 -59.5,46.2 -60.9,45.5 -63.0,44.8 -64.4,44.1 -65.1,43.4 -65.8,43.4 -66.5,44.8 -64.4,45.5 -65.8,45.5 -67.2,44.8 -67.9,45.5 -67.9,46.9 -67.9,47.6 -68.6,46.9 -69.3,47.6 -70.0,46.9 -70.0,46.2 -70.7,45.5 -71.4,45.5 -71.4,44.8 -73.5,44.8 -74.9,44.8 -75.6,44.8 -76.3,44.1 -77.0,43.4 -77.7,43.4 -78.4,43.4 -79.1,43.4 -79.1,42.7 -80.5,42.7 -81.2,42.0 -82.6,42.0 -83.3,42.0 -82.6,42.7 -81.9,43.4 -82.6,44.1 -82.6,45.5 -83.3,45.5 -83.3,46.2 -84.0,46.2 -84.7,46.2 -84.7,46.9 -85.4,46.9 -86.8,47.6 -87.5,47.6 -88.2,48.3 -89.6,48.3 -91.0,48.3 -91.7,48.3 -92.4,48.3 -93.8,48.3 -94.5,49.0 -94.5,49.7 -95.2,49.7 -95.2,49.0 -97.3,49.0 -100.8,49.0 -104.3,49.0 -107.1,49.0 -109.9,49.0 -112.7,49.0 -116.2,49.0 -116.9,49.0 -119.7,49.0 -122.5,49.0~-79.8,72.8 -81.2,73.5 -80.5,73.5 -78.4,73.5 -76.3,72.8 -77.0,72.8 -78.4,72.8 -79.8,72.8~-93.8,74.9 -94.5,74.9 -95.9,74.9 -96.6,74.9 -96.6,75.6 -95.2,75.6 -93.8,75.6 -93.8,74.9~-96.6,79.1 -95.9,78.4 -97.3,77.7 -98.0,78.4 -98.7,78.4 -98.7,79.1 -97.3,79.1 -96.6,79.1~-88.2,74.2 -89.6,74.2 -92.4,74.9 -93.1,75.6 -93.8,76.3 -95.9,76.3 -97.3,77.0 -96.6,77.0 -94.5,77.0 -93.8,77.0 -91.7,77.0 -91.0,76.3 -89.6,75.6 -88.9,75.6 -87.5,75.6 -86.1,75.6 -84.7,75.6 -82.6,75.6 -81.2,75.6 -79.8,75.6 -79.8,74.9 -80.5,74.9 -81.9,74.2 -83.3,74.9 -86.1,74.2 -88.2,74.2~-55.3,51.1 -56.0,50.4 -56.7,49.7 -56.0,50.4 -55.3,49.7 -56.0,49.7 -54.6,49.0 -54.6,49.7 -53.2,49.0 -53.9,48.3 -53.2,49.0 -53.2,48.3 -52.5,47.6 -53.2,46.9 -53.9,46.9 -53.9,47.6 -55.3,46.9 -56.0,46.9 -55.3,47.6 -56.0,47.6 -57.4,47.6 -59.5,47.6 -58.8,48.3 -59.5,48.3 -58.1,49.0 -57.4,50.4 -56.7,51.1 -56.0,51.8 -55.3,51.8 -55.3,51.1~-84.0,65.1 -82.6,65.1 -81.9,64.4 -81.9,63.7 -80.5,64.4 -79.8,63.7 -81.2,63.7 -82.6,63.7 -83.3,64.4 -84.0,63.7 -85.4,63.0 -86.1,63.7 -87.5,63.7 -86.1,63.7 -86.1,65.1 -86.1,65.8 -85.4,65.8 -84.7,65.1 -84.0,65.1~-79.1,72.1 -77.7,72.8 -75.6,72.1 -74.2,72.1 -74.2,71.4 -72.1,71.4 -71.4,70.7 -68.6,70.7 -67.9,70.0 -67.2,69.3 -68.6,68.6 -66.5,67.9 -65.1,67.9 -63.7,67.2 -61.6,67.2 -62.3,66.5 -63.7,65.1 -65.1,65.1 -66.5,66.5 -67.9,66.5 -67.9,65.8 -67.2,65.1 -65.8,64.4 -65.1,64.4 -64.4,63.7 -65.1,63.0 -66.5,63.0 -68.6,63.7 -67.2,63.0 -66.5,62.3 -66.5,61.6 -68.6,62.3 -70.7,63.0 -72.1,63.7 -73.5,64.4 -74.9,64.4 -77.7,64.4 -78.4,64.4 -77.7,65.1 -76.3,65.1 -74.2,65.8 -74.2,66.5 -72.8,67.2 -72.8,67.9 -73.5,67.9 -74.9,68.6 -77.0,68.6 -76.3,69.3 -77.0,70.0 -78.4,70.0 -79.1,70.0 -79.8,70.0 -81.2,70.0 -84.7,70.0 -86.8,70.0 -88.9,70.7 -89.6,70.7 -88.2,71.4 -89.6,71.4 -90.3,72.1 -89.6,72.8 -88.2,73.5 -86.1,73.5 -86.8,73.5 -86.1,72.8 -84.7,73.5 -82.6,73.5 -80.5,72.8 -80.5,72.1 -79.1,72.1~-94.5,74.2 -92.4,74.2 -90.3,74.2 -91.7,72.8 -93.1,72.8 -94.5,72.1 -95.2,72.1 -95.9,72.8 -95.9,73.5 -95.2,74.2 -94.5,74.2~-123.2,76.3 -121.1,77.0 -119.0,77.7 -117.6,77.7 -116.2,77.7 -116.2,77.0 -116.9,76.3 -118.3,76.3 -119.7,76.3 -121.8,75.6 -123.2,76.3~-105.7,79.1 -103.6,79.1 -100.8,79.1 -100.1,78.4 -99.4,77.7 -101.5,77.7 -102.9,78.4 -105.0,78.4 -104.3,78.4 -105.7,79.1~-123.2,48.3 -123.9,48.3 -126.0,49.0 -126.7,49.7 -128.1,49.7 -128.1,50.4 -128.1,51.1 -127.4,50.4 -126.7,50.4 -126.0,50.4 -125.3,49.7 -124.6,49.7 -123.9,49.0 -123.2,48.3~-121.8,74.2 -120.4,74.2 -117.6,74.2 -116.9,74.2 -115.5,73.5 -116.9,73.5 -119.0,72.8 -120.4,72.1 -120.4,71.4 -123.2,70.7 -123.9,71.4 -126.0,72.1 -125.3,72.1 -124.6,72.8 -123.9,73.5 -124.6,74.2 -121.8,74.2~-107.8,75.6 -107.1,76.3 -105.7,76.3 -105.7,75.6 -106.4,74.9 -109.9,74.9 -112.0,74.2 -113.4,74.2 -114.1,74.9 -112.0,74.9 -116.2,74.9 -117.6,74.9 -116.2,76.3 -115.5,76.3 -112.7,76.3 -110.6,75.6 -109.2,75.6 -110.6,76.3 -109.9,77.0 -108.5,77.0 -108.5,76.3 -107.8,75.6~-106.4,72.8 -105.7,72.8 -105.0,71.4 -104.3,70.7 -102.9,70.7 -100.8,70.0 -100.8,69.3 -102.9,69.3 -102.2,69.3 -102.2,68.6 -104.3,68.6 -105.7,69.3 -107.1,69.3 -109.2,68.6 -111.3,68.6 -113.4,68.6 -114.1,69.3 -115.5,69.3 -116.2,69.3 -117.6,70.0 -116.9,70.0 -114.8,70.0 -113.4,70.0 -112.7,70.7 -114.1,70.7 -116.2,70.7 -117.6,70.7 -118.3,70.7 -116.2,71.4 -117.6,71.4 -119.7,71.4 -118.3,72.1 -117.6,72.8 -115.5,73.5 -114.1,72.8 -114.8,72.8 -112.7,72.8 -111.3,72.8 -109.9,72.8 -109.2,72.8 -108.5,71.4 -107.8,72.1 -108.5,72.8 -107.8,73.5 -106.4,72.8~-100.1,72.8 -101.5,73.5 -100.1,73.5 -99.4,73.5 -97.3,73.5 -98.0,72.8 -96.6,72.8 -96.6,71.4 -98.7,71.4 -99.4,71.4 -100.1,71.4 -102.2,72.8 -100.1,72.8~-98.7,77.0 -98.0,76.3 -98.0,75.6 -98.0,74.9 -100.1,74.9 -100.8,74.9 -100.8,75.6 -102.2,75.6 -102.9,76.3 -101.5,76.3 -100.1,76.3 -98.7,76.3 -98.7,77.0~-95.9,80.5 -95.2,81.2 -94.5,81.2 -92.4,81.2 -91.0,80.5 -89.6,80.5 -87.5,80.5 -86.8,79.8 -86.1,79.1 -87.5,79.1 -88.9,78.4 -91.0,78.4 -93.1,78.4 -93.8,79.1 -93.1,79.1 -95.2,79.1 -95.9,79.8 -96.6,80.5 -95.9,80.5~-91.7,81.9 -90.3,81.9 -88.9,81.9 -86.8,82.6 -85.4,82.6 -84.0,82.6 -83.3,82.6 -82.6,82.6 -81.2,83.3 -79.1,83.3 -76.3,83.3 -75.6,83.3 -72.8,83.3 -70.7,83.3 -68.6,83.3 -65.8,83.3 -63.7,82.6 -61.6,82.6 -64.4,81.9 -66.5,81.9 -67.9,81.2 -65.8,81.2 -67.9,81.2 -69.3,80.5 -71.4,79.8 -73.5,79.8 -74.2,79.1 -77.0,79.1 -75.6,79.1 -76.3,79.1 -75.6,78.4 -76.3,78.4 -77.7,77.7 -78.4,77.7 -79.8,77.0 -77.7,77.0 -80.5,76.3 -83.3,76.3 -86.1,76.3 -87.5,76.3 -89.6,76.3 -89.6,77.0 -87.5,77.0 -88.2,77.7 -87.5,77.7 -84.7,77.7 -86.1,78.4 -88.2,78.4 -87.5,79.1 -85.4,79.1 -86.8,79.8 -86.8,80.5 -84.0,80.5 -83.3,79.8 -81.9,80.5 -84.0,80.5 -87.5,80.5 -89.6,81.2 -90.3,81.2 -91.7,81.9~-96.6,69.3 -95.9,69.3 -96.6,68.6 -97.3,69.3 -98.7,69.3 -100.1,69.3 -98.7,70.0 -98.0,70.0 -97.3,70.0 -96.6,70.0 -96.6,69.3
840|United States of America|-122.5,49.0 -119.7,49.0 -116.9,49.0 -116.2,49.0 -112.7,49.0 -109.9,49.0 -107.1,49.0 -104.3,49.0 -100.8,49.0 -97.3,49.0 -95.2,49.0 -95.2,49.7 -94.5,49.7 -94.5,49.0 -93.8,48.3 -92.4,48.3 -91.7,48.3 -91.0,48.3 -89.6,48.3 -88.2,48.3 -87.5,47.6 -86.8,47.6 -85.4,46.9 -84.7,46.9 -84.7,46.2 -84.0,46.2 -83.3,46.2 -83.3,45.5 -82.6,45.5 -82.6,44.1 -81.9,43.4 -82.6,42.7 -83.3,42.0 -82.6,42.0 -81.2,42.0 -80.5,42.7 -79.1,42.7 -79.1,43.4 -78.4,43.4 -77.7,43.4 -77.0,43.4 -76.3,44.1 -75.6,44.8 -74.9,44.8 -73.5,44.8 -71.4,44.8 -71.4,45.5 -70.7,45.5 -70.0,46.2 -70.0,46.9 -69.3,47.6 -68.6,46.9 -67.9,47.6 -67.9,46.9 -67.9,45.5 -67.2,44.8 -67.9,44.1 -69.3,44.1 -70.0,43.4 -70.7,43.4 -70.7,42.7 -70.7,42.0 -70.0,42.0 -70.0,41.3 -70.7,41.3 -71.4,41.3 -72.1,41.3 -72.8,41.3 -73.5,40.6 -72.1,41.3 -72.1,40.6 -73.5,40.6 -74.2,40.6 -74.2,39.9 -74.9,39.2 -75.6,39.2 -74.9,38.5 -75.6,37.8 -75.6,37.1 -76.3,37.1 -75.6,37.8 -76.3,38.5 -76.3,39.2 -76.3,38.5 -76.3,37.8 -77.0,38.5 -76.3,37.8 -76.3,37.1 -75.6,36.4 -75.6,35.7 -76.3,35.0 -77.7,34.3 -78.4,33.6 -79.1,33.6 -79.1,32.9 -80.5,32.2 -81.2,32.2 -81.2,31.5 -81.2,30.8 -81.2,30.1 -81.2,29.4 -80.5,28.7 -80.5,28.0 -79.8,26.6 -79.8,25.9 -80.5,25.2 -81.2,25.2 -81.2,25.9 -81.9,25.9 -81.9,26.6 -82.6,27.3 -82.6,28.0 -82.6,28.7 -82.6,29.4 -84.0,30.1 -85.4,29.4 -86.1,30.1 -87.5,30.1 -88.2,30.1 -88.9,30.1 -89.6,30.1 -89.6,29.4 -88.9,29.4 -89.6,29.4 -90.3,29.4 -91.0,29.4 -91.7,29.4 -92.4,29.4 -93.1,30.1 -93.8,29.4 -94.5,29.4 -95.9,28.7 -96.6,28.0 -97.3,28.0 -97.3,27.3 -97.3,26.6 -97.3,25.9 -98.0,25.9 -98.7,26.6 -99.4,26.6 -99.4,27.3 -100.1,28.0 -100.8,28.7 -100.8,29.4 -101.5,30.1 -102.2,30.1 -102.9,28.7 -103.6,29.4 -104.3,29.4 -105.0,30.1 -105.0,30.8 -105.7,30.8 -106.4,31.5 -108.5,31.5 -109.2,31.5 -111.3,31.5 -113.4,32.2 -114.8,32.2 -114.8,32.9 -116.2,32.9 -116.9,32.2 -117.6,32.9 -117.6,33.6 -118.3,33.6 -118.3,34.3 -119.0,34.3 -119.7,34.3 -120.4,34.3 -120.4,35.0 -121.8,36.4 -122.5,37.8 -123.2,37.8 -123.9,39.2 -123.9,39.9 -124.6,40.6 -123.9,41.3 -123.9,42.0 -124.6,42.7 -123.9,43.4 -123.9,44.8 -123.9,45.5 -123.9,46.9 -124.6,47.6 -124.6,48.3 -123.2,48.3 -122.5,46.9 -122.5,47.6 -122.5,48.3 -122.5,49.0~-140.7,70.0 -140.7,65.8 -140.7,60.2 -140.0,60.2 -139.3,60.2 -138.6,59.5 -137.2,58.8 -136.5,59.5 -135.8,59.5 -135.1,59.5 -134.4,58.8 -133.7,58.1 -133.0,57.4 -131.6,56.7 -130.2,56.0 -130.2,55.3 -130.2,54.6 -130.9,55.3 -132.3,55.3 -132.3,56.7 -133.7,57.4 -134.4,58.1 -135.1,58.1 -136.5,58.1 -137.9,58.8 -140.0,59.5 -140.7,59.5 -142.8,60.2 -144.2,60.2 -145.6,60.2 -147.0,60.9 -148.4,60.9 -147.7,60.2 -148.4,60.2 -149.8,59.5 -150.5,59.5 -151.9,59.5 -151.2,60.9 -150.5,60.9 -150.5,61.6 -151.9,60.9 -152.6,60.2 -154.0,59.5 -153.3,58.8 -154.0,58.1 -155.4,57.4 -156.1,57.4 -156.8,56.7 -158.2,56.7 -158.2,56.0 -159.6,55.3 -160.3,55.3 -161.0,55.3 -162.4,55.3 -163.1,54.6 -164.5,54.6 -165.2,54.6 -163.8,55.3 -163.1,55.3 -161.7,56.0 -160.3,56.0 -160.3,56.7 -158.9,56.7 -158.2,57.4 -157.5,57.4 -157.5,58.1 -156.8,58.8 -158.2,58.8 -158.9,58.1 -159.6,58.8 -160.3,58.8 -161.7,58.8 -162.4,59.5 -161.7,59.5 -162.4,60.2 -163.8,59.5 -164.5,60.2 -165.2,60.2 -165.2,60.9 -165.9,61.6 -165.9,62.3 -165.2,62.3 -164.5,63.0 -163.8,63.0 -163.1,63.0 -162.4,63.7 -161.7,63.7 -161.0,63.7 -161.0,64.4 -161.7,64.4 -161.0,65.1 -161.7,65.1 -162.4,64.4 -163.1,64.4 -163.8,64.4 -165.2,64.4 -166.6,64.4 -166.6,65.1 -168.0,65.8 -166.6,65.8 -164.5,66.5 -163.8,66.5 -163.8,65.8 -161.7,65.8 -162.4,66.5 -163.8,67.2 -164.5,67.9 -165.2,67.9 -166.6,68.6 -165.9,68.6 -164.5,68.6 -163.1,69.3 -163.1,70.0 -161.7,70.0 -161.0,70.7 -158.9,70.7 -158.2,70.7 -156.8,71.4 -155.4,71.4 -154.0,70.7 -151.9,70.7 -152.6,70.7 -150.5,70.7 -149.8,70.7 -147.7,70.0 -145.6,70.0 -144.9,70.0 -143.5,70.0 -142.1,70.0 -140.7,70.0
398|Kazakhstan|87.5,49.0 86.8,48.3 86.1,48.3 85.4,47.6 85.4,46.9 83.3,47.6 82.6,45.5 81.9,45.5 79.8,44.8 81.2,43.4 80.5,42.7 79.8,42.7 79.1,42.7 77.7,42.7 76.3,42.7 75.6,42.7 74.2,43.4 73.5,43.4 73.5,42.7 72.1,42.7 71.4,42.7 70.7,42.0 69.3,41.3 68.6,40.6 67.9,41.3 66.5,41.3 66.5,42.0 65.8,42.0 65.8,42.7 65.1,43.4 63.0,43.4 62.3,43.4 60.9,44.1 60.2,44.8 58.8,45.5 56.0,44.8 56.0,41.3 55.3,41.3 54.6,42.0 53.9,42.0 53.2,42.0 52.5,42.0 52.5,42.7 51.1,43.4 51.1,44.1 50.4,44.1 50.4,44.8 51.1,44.8 51.1,45.5 52.5,45.5 53.2,45.5 53.2,46.2 53.2,46.9 51.8,46.9 51.1,46.9 49.7,46.9 49.0,46.2 48.3,46.9 49.0,46.9 48.3,47.6 47.6,47.6 46.2,48.3 46.9,49.0 46.9,49.7 47.6,50.4 48.3,49.7 49.0,50.4 51.1,51.8 52.5,51.8 54.6,51.1 56.0,50.4 56.7,51.1 58.1,51.1 59.5,50.4 60.2,51.1 61.6,51.1 60.2,51.8 60.9,52.5 61.6,53.2 60.9,53.9 61.6,53.9 65.1,54.6 65.8,54.6 67.9,55.3 69.3,55.3 70.7,55.3 71.4,53.9 72.1,54.6 73.5,53.9 73.5,53.2 74.2,53.2 77.0,54.6 76.3,53.9 77.7,53.2 79.8,51.1 80.5,51.1 81.9,51.1 83.3,51.1 84.0,51.1 84.7,50.4 85.4,50.4 85.4,49.7 86.8,49.7 87.5,49.0
860|Uzbekistan|56.0,41.3 56.0,44.8 58.8,45.5 60.2,44.8 60.9,44.1 62.3,43.4 63.0,43.4 65.1,43.4 65.8,42.7 65.8,42.0 66.5,42.0 66.5,41.3 67.9,41.3 68.6,40.6 69.3,41.3 70.7,42.0 71.4,42.0 70.7,41.3 71.4,41.3 72.1,41.3 72.8,40.6 72.1,39.9 70.7,39.9 70.7,40.6 70.7,41.3 69.3,40.6 69.3,39.9 68.6,39.2 67.9,39.9 67.2,39.2 67.9,39.2 68.6,38.5 67.9,37.1 67.2,37.1 66.5,37.1 66.5,37.8 65.1,38.5 64.4,39.2 63.7,39.2 62.3,39.9 61.6,41.3 60.2,41.3 60.2,42.0 58.8,42.7 58.1,42.0 56.7,42.0 57.4,41.3 56.0,41.3
598|Papua New Guinea|140.7,-2.8 142.8,-3.5 144.9,-4.2 145.6,-4.2 145.6,-4.9 146.3,-5.6 147.7,-6.3 147.0,-7.0 147.0,-7.7 148.4,-7.7 148.4,-9.1 149.1,-9.1 149.1,-9.8 149.8,-9.8 150.5,-10.5 149.8,-10.5 149.1,-10.5 147.7,-9.8 147.0,-9.8 146.3,-9.1 146.3,-8.4 144.9,-7.7 144.2,-7.7 143.5,-8.4 143.5,-9.1 142.8,-9.1 142.1,-9.1 140.7,-9.1 140.7,-5.6 140.7,-2.8~151.2,-5.6 150.5,-6.3 149.8,-6.3 149.1,-6.3 148.4,-5.6 149.1,-5.6 149.8,-5.6 149.8,-4.9 150.5,-5.6 151.2,-4.9 151.9,-4.9 151.2,-4.2 151.9,-4.2 152.6,-4.2 152.6,-4.9 151.9,-5.6 151.2,-5.6
360|Indonesia|140.7,-2.8 140.7,-5.6 140.7,-9.1 140.0,-8.4 139.3,-8.4 138.6,-8.4 137.9,-8.4 137.9,-7.7 138.6,-7.0 138.6,-6.3 137.9,-5.6 135.8,-4.2 135.1,-4.2 133.7,-3.5 133.7,-4.2 133.0,-4.2 133.0,-3.5 132.3,-2.8 133.0,-2.8 133.7,-2.8 133.7,-2.1 132.3,-2.1 131.6,-1.4 130.9,-1.4 130.2,-0.7 131.6,-0.7 132.3,-0.7 133.7,-0.7 134.4,-1.4 134.4,-2.8 135.8,-3.5 136.5,-2.1 137.2,-1.4 138.6,-1.4 139.3,-2.1 140.0,-2.1 140.7,-2.8~117.6,4.2 117.6,3.5 118.3,2.1 117.6,2.1 119.0,0.7 117.6,0.7 117.6,0.0 117.6,-0.7 116.9,-1.4 116.2,-2.8 116.2,-4.2 116.2,-3.5 114.8,-4.2 114.8,-3.5 114.1,-3.5 113.4,-2.8 112.0,-3.5 112.0,-2.8 111.3,-2.8 109.9,-2.8 109.9,-1.4 109.2,-0.7 109.2,0.7 109.2,1.4 109.9,2.1 109.9,1.4 110.6,0.7 111.3,0.7 112.0,0.7 112.7,1.4 114.1,1.4 114.8,1.4 114.8,2.8 115.5,3.5 116.2,4.2 116.9,4.2 117.6,4.2~128.1,2.1 128.1,1.4 128.8,1.4 128.8,0.0 128.1,0.7 128.1,0.0 128.1,-0.7 127.4,0.0 127.4,0.7 127.4,2.1 128.1,2.1~123.2,0.7 123.9,0.7 125.3,1.4 124.6,0.7 123.9,0.0 122.5,0.7 121.1,0.7 120.4,0.0 119.7,-0.7 121.1,-1.4 121.8,-0.7 123.2,-0.7 123.2,-1.4 122.5,-0.7 122.5,-1.4 121.8,-2.1 122.5,-3.5 123.2,-4.9 123.2,-5.6 122.5,-5.6 122.5,-4.2 121.8,-4.9 121.8,-4.2 121.1,-3.5 121.1,-2.8 120.4,-2.8 120.4,-4.2 120.4,-5.6 119.7,-5.6 119.7,-4.2 119.7,-3.5 119.0,-3.5 119.0,-2.8 119.0,-2.1 119.0,-1.4 119.7,0.0 119.7,0.7 121.1,1.4 121.8,0.7 123.2,0.7~108.5,-6.3 108.5,-7.0 110.6,-7.0 110.6,-6.3 112.7,-7.0 112.7,-7.7 114.8,-7.7 115.5,-8.4 114.8,-9.1 113.4,-8.4 112.7,-8.4 111.3,-8.4 110.6,-8.4 109.2,-7.7 108.5,-7.7 106.4,-7.7 106.4,-7.0 105.7,-7.0 106.4,-5.6 107.1,-6.3 107.8,-6.3 108.5,-6.3~104.3,-1.4 104.3,-2.1 105.0,-2.1 105.7,-2.1 106.4,-2.8 105.7,-4.2 105.7,-5.6 105.0,-5.6 103.6,-4.9 102.9,-4.2 102.2,-3.5 101.5,-2.8 100.8,-2.1 100.1,-0.7 99.4,0.0 98.7,0.7 98.7,2.1 98.0,2.8 97.3,3.5 96.6,4.2 95.2,4.9 95.2,5.6 95.9,5.6 97.3,4.9 98.7,4.2 99.4,3.5 100.8,2.1 101.5,2.1 102.2,1.4 102.9,0.7 103.6,0.0 103.6,-0.7 104.3,-1.4
32|Argentina|-68.6,-52.5 -68.6,-53.2 -67.9,-53.9 -66.5,-54.6 -65.1,-54.6 -65.8,-55.3 -66.5,-55.3 -67.2,-54.6 -67.9,-54.6 -68.6,-54.6 -68.6,-52.5~-57.4,-30.1 -58.1,-30.8 -58.1,-32.2 -58.1,-32.9 -58.1,-33.6 -58.8,-34.3 -57.4,-35.0 -57.4,-35.7 -56.7,-36.4 -56.7,-37.1 -57.4,-38.5 -59.5,-38.5 -60.9,-39.2 -62.3,-38.5 -62.3,-39.2 -62.3,-39.9 -62.3,-40.6 -63.0,-41.3 -63.7,-41.3 -64.4,-40.6 -65.1,-41.3 -65.1,-42.0 -64.4,-42.7 -63.7,-42.0 -63.7,-42.7 -64.4,-42.7 -65.1,-43.4 -65.1,-44.8 -65.8,-44.8 -66.5,-44.8 -67.2,-45.5 -67.9,-46.2 -66.5,-46.9 -65.8,-46.9 -65.8,-48.3 -67.2,-49.0 -67.9,-49.7 -68.6,-50.4 -69.3,-50.4 -68.6,-51.8 -67.9,-52.5 -68.6,-52.5 -69.3,-51.8 -72.1,-51.8 -72.1,-51.1 -72.1,-50.4 -72.8,-50.4 -73.5,-50.4 -73.5,-49.0 -72.8,-49.0 -72.1,-48.3 -72.1,-47.6 -72.1,-46.9 -71.4,-45.5 -71.4,-44.8 -71.4,-44.1 -72.1,-44.1 -71.4,-44.1 -72.1,-43.4 -72.1,-42.0 -71.4,-42.0 -72.1,-40.6 -71.4,-39.9 -71.4,-39.2 -70.7,-38.5 -71.4,-37.8 -71.4,-36.4 -70.7,-35.7 -70.7,-35.0 -70.0,-34.3 -70.0,-33.6 -70.0,-32.9 -70.7,-31.5 -70.0,-30.1 -70.0,-29.4 -70.0,-28.7 -69.3,-27.3 -68.6,-26.6 -68.6,-25.9 -68.6,-24.5 -67.2,-23.8 -67.2,-23.1 -67.2,-22.4 -66.5,-21.7 -65.1,-22.4 -64.4,-23.1 -63.7,-21.7 -63.0,-21.7 -63.0,-22.4 -60.9,-23.8 -60.2,-23.8 -58.8,-24.5 -58.1,-25.2 -57.4,-25.9 -58.8,-27.3 -57.4,-27.3 -56.7,-27.3 -56.0,-27.3 -54.6,-26.6 -54.6,-25.9 -53.9,-25.2 -53.9,-25.9 -53.9,-26.6 -54.6,-27.3 -55.3,-28.0 -56.0,-28.7 -57.4,-30.1
